,QUARTER,TELEPHONY SERVICES,MOBILE SERVICES,Total Mobile (SIM) Subscriptions,Safaricom SIM Subscription - Prepaid,Safaricom SIM Subscription - Postpaid,Airtel Kenya SIM Subscription - Prepaid,Airtel Kenya SIM Subscription - Postpaid,Telkom Kenya SIM Subscription - Prepaid,Telkom Kenya SIM Subscription - Postpaid,Equitel SIM Subscription - Prepaid,Equitel SIM Subscription - Postpaid,Mobile Pay SIM Subscription - Prepaid,Mobile Pay SIM Subscription - Postpaid,Jamii Telkom SIM Subscription - Prepaid,Jamii Telkom SIM Subscription - Postpaid,Machine to Machine (M2M) Subscriptions,VOICE,Safaricom PLC On-net,Safaricom PLC Off-net,Airtel On-net,Airtel Off-net,Telkom On-net,Telkom Off-net,Equitel On-net,Equitel Off-net,JTL On-net,JTL Off-net,Mobile Pay On-net,Mobile Pay Off-net,Total On-net,Total Off-net,SMS,Safaricom PLC On-net,Safaricom PLC Off-net,Airtel On-net,Airtel Off-net,Telkom On-net,Telkom Off-net,Equitel On-net,Equitel Off-net,JTL On-net,JTL Off-net,Mobile Pay On-net,Mobile Pay Off-net,Total On-net,Total Off-net,MOBILE MONEY TRANSFER,Number of Registered  Mobile Money Agents,Mobile Money Subscriptions,Value of C2B Transfers in KES,Value of B2C Transfers in KES,Value of B2B Transfers in KES,Value of G2C Transfers in KES,Value of C2G Transfers in KES,Number of P2P Transfers,Value of P2P Transfers in KES,Total value of Deposits in KES, DATA,Total Data Subscriptions,Total Broadband subscription,FIXED DATA,Safaricom Fixed Data,Wananchi Group Fixed Data,Jamii Telecommunications Fixed Data,Poa Internet Fixed Data,Liquid Telecommunications Fixed Data,Mawingu Networks Fixed Data,Dimensions Data Fixed Data(ISK/Access Kenya),Telkom Kenya Fixed Data,Other Fixed Service Providers
October - December 2019,Q2 2019/2020,0,0,54555497,34161953,1173154,14021519,97050,3373133,18813,1709875,0,0,0,0,0,0,0,9551360114,496988306,3368535646,1004722340,312854640,202506322,4739839,28260793,0,0,0,0,13237490239,1732477761,0,14178377276,508048109,209435990,595487013,4371905,96484801,1982381,5517314,0,0,0,0,14404167552,1205537237,0,205328,28976406,2.94012E+11,3.77413E+11,8.59615E+11,0,9731586329,464353467,6.84508E+11,6.0696E+11,0,39657090,22080151,0,165810,175433,78149,45577,9444,10390,8877,4400,2808
July - September 2019,Q1 2019/2020,0,0,53248577,33211176,1358893,13034554,88038,3543796,15447,1901848,0,94825,0,0,0,0,0,9575631209,509174237,6230116858,970441315,336936653,215909212,4859545,28869802,0,0,3271,27810,16147547536,1724422376,0,15968436626,424935622,363830758,301784521,16656809,107604550,2556209,5358237,0,0,2503,21163,16351482905,839704093,0,235168,31285208,0,0,0,0,0,0,6.65037E+11,6.04236E+11,0,26808895,25200000,0,154603,151548,66572,39533,9449,10055,15744,4744,2592
April - June 2019,Q4 2018/2019,0,0,52168066,31736810,1381743,12733967,103058,4222813,12819,1882440,0,94416,0,0,0,0,0,8745364557,446764080,5412492526,904784091,407790336,239596522,4135866,26791080,0,0,3211,27292,14569786496,1617963065,0,15893681266,410729143,337158204,317836492,17239076,97675767,2302055,5618467,0,0,2455,20774,16250383056,831880643,0,290432,32634883,0,0,0,0,0,0,7.70961E+11,6.69346E+11,0,27754305,22200000,0,137824,146349,61508,32999,8725,10184,15744,4995,2652
January - March 2019,Q3 2018/2019,0,0,51032247,30651090,1194268,13202078,114366,4038497,15202,1722330,0,94416,0,0,0,0,0,9323093508,507096952,4926497190,942523022,438025847,233850534,4074067,29142027,0,0,3211,27292,14691693823,1712639827,0,14228137313,394986898,299142920,323047409,16434012,88502247,1870004,5572021,0,0,2455,20774,14545586704,812129349,0,223084,32062254,0,0,0,0,0,0,7.37058E+11,0,0,46870422,21900000,0,126792,143957,56396,29765,8565,12400,15712,4799,3717
October - December 2018,Q2 2018/2019,0,0,49501430,30180940,1139639,11475746,88221,4435307,12638,2075676,0,93263,0,0,0,0,0,8921525809,533458215,3580991014,937593318,449167055,257377368,4331697,30912713,0,0,3154,26807,12956018729,1759368421,0,16654154484,456657612,370168861,574105426,24906626,103491991,1907064,6590498,0,0,2411,20404,17051139446,1140865931,0,223931,31627001,0,0,0,0,0,0,7.31923E+11,0,0,45705440,0,0,109925,141021,51082,27939,8330,10880,15307,3717,3297
July - September 2018,Q1 2018/2019,0,0,46630162,28850444,1093197,10316812,96920,4176803,11714,1992150,0,92122,0,0,0,0,0,8493514431,438628546,3805788276,979537254,393620676,225739746,4352788,33889107,0,0,3098,26384,12697279269,1677821037,0,14184157244,355049920,295029526,545894016,16288835,66654608,1889677,6951264,0,0,2368,20041,14497367650,974569849,0,218495,29785389,0,0,0,0,0,0,7.18283E+11,0,0,42204503,0,0,96608,137213,45933,26726,8234,13128,15074,3801,3080
April - June 2018,Q4 2017/2018,0,0,45569036,28702646,1077402,9643139,101301,3983784,11581,1959009,0,90062,0,0,0,0,0,8730358224,420762108,3273875096,929405586,345830389,189705875,4459497,34483287,0,0,3154,26853,12354529618,1574420162,0,13647679519,281569222,317815570,462103080,15947536,66087527,1832501,7100387,0,0,2411,20395,13983278047,816887734,0,206940,29678063,0,0,0,0,0,0,6.75593E+11,0,0,41111850,0,0,78104,112155,43529,25810,9720,77722,15227,4178,2841
January - March 2018,Q3 2017/2018,0,0,44119142,28431629,1138556,8609541,100015,3795435,9561,1944231,0,90062,0,0,0,0,0,8077151028,397625724,2787845102,871955639,387787772,193962426,4166956,32951790,0,0,3154,26853,11256957270,1496558885,0,13905810537,253547271,258983630,400281332,18174803,67488115,1659781,6589345,0,0,2411,20395,14184631672,727933581,0,202244,29106390,0,0,0,0,0,0,6.54402E+11,0,0,36097088,0,0,63567,112593,36179,24553,9507,59754,14845,3552,2956
October - December 2017,Q2 2017/2018,0,0,42815109,28297097,1267077,7232787,137248,3850432,10127,1930337,0,89892,0,0,0,0,0,8200724633,350913622,1874925780,718367640,413559948,195092257,3874294,33665187,0,0,3194,24254,10493091107,1298099413,0,16924173424,241318520,184995402,373003788,22896061,76499650,1581536,6990772,0,0,2442,20651,17133649375,697840504,0,198234,30005181,0,0,0,0,0,0,5.96443E+11,0,0,33365197,0,0,48267,105713,36179,22466,8754,46527,13623,3772,3002
July - September 2017,Q1 2017/2018,0,0,41028307,28241267,1249029,5963595,141241,3423685,12291,1908083,0,88853,0,0,0,0,0,8199176321,310876214,1311373880,615752439,405843313,184032672,3777017,36639218,0,0,3155,26918,9920177093,1147363309,0,18553469372,169983328,183995402,311263007,15434827,51279958,1379787,6992663,0,0,2412,5656,18754282752,539534097,0,184537,28192994,0,0,0,0,0,0,5.44182E+11,0,0,51170130,0,0,40015,107640,34975,20553,7690,29905,15004,3856,3154
April - June 2017,Q4 2016/2017,0,0,40259476,28155068,1073828,6037020,142162,2889756,8755,1864838,0,87786,0,0,0,0,0,8154182598,322857408,956923000,572399328,426433847,172686776,3898845,40743038,0,0,3116,26392,9541444813,1108748533,0,14431066765,175984130,220354774,322861272,17276167,50884685,1996676,7183879,0,0,2302,20309,14670697636,556943760,0,180657,28074708,0,0,0,0,0,0,5.41869E+11,0,0,45485414,15400000,0,0,0,0,0,0,0,0,0,0
January - March 2017,Q3 2016/2017,0,0,39146064,27099918,1033670,6255020,138658,2795762,8747,1727270,0,86724,0,0,0,0,0,8191883021,361270839,660920000,602363650,409544140,162824828,3600081,43024227,0,0,3020,25634,9265953858,1169552639,0,12534726046,161383384,249014488,314064515,16381210,44905509,985042,7369673,0,0,2214,19706,12801110136,527754990,0,174018,27543240,0,0,0,0,0,0,5.20455E+11,0,0,25707557,0,0,0,0,0,0,0,0,0,0,0
